
"TS001 - Number of usual residents in households and communal establishments"
"ONS Crown Copyright Reserved [from Nomis on 8 February 2024]"
"Population :","All usual residents"
"Units      :","Persons"
"Residence type:","Total: All usual residents"

"2022 local authorities: county","mnemonic","2021"

"Darlington","E06000005",107799
"County Durham","E06000047",522068
"Hartlepool","E06000001",92338
"Middlesbrough","E06000002",143926
"Northumberland","E06000057",320567
"Redcar and Cleveland","E06000003",136531
"Stockton-on-Tees","E06000004",196595
"Gateshead","E08000037",196151
"Newcastle upon Tyne","E08000021",300125
"North Tyneside","E08000022",208967
"South Tyneside","E08000023",147776
"Sunderland","E08000024",274172
"Blackburn with Darwen","E06000008",154738
"Blackpool","E06000009",141036
"Cheshire East","E06000049",398772
"Cheshire West and Chester","E06000050",357150
"Halton","E06000006",128478
"Warrington","E06000007",210974
"Cumbria","E10000006",499846
"Bolton","E08000001",295963
"Bury","E08000002",193851
"Manchester","E08000003",551938
"Oldham","E08000004",242088
"Rochdale","E08000005",223773
"Salford","E08000006",269923
"Stockport","E08000007",294773
"Tameside","E08000008",231071
"Trafford","E08000009",235052
"Wigan","E08000010",329330
"Lancashire","E10000017",1235354
"Knowsley","E08000011",154519
"Liverpool","E08000012",486088
"Sefton","E08000014",279233
"St. Helens","E08000013",183248
"Wirral","E08000015",320199
"East Riding of Yorkshire","E06000011",342215
"Kingston upon Hull, City of","E06000010",267014
"North East Lincolnshire","E06000012",156966
"North Lincolnshire","E06000013",169680
"York","E06000014",202821
"North Yorkshire","E10000023",615491
"Barnsley","E08000016",244572
"Doncaster","E08000017",308106
"Rotherham","E08000018",265807
"Sheffield","E08000019",556521
"Bradford","E08000032",546412
"Calderdale","E08000033",206631
"Kirklees","E08000034",433216
"Leeds","E08000035",811956
"Wakefield","E08000036",353368
"Derby","E06000015",261364
"Leicester","E06000016",368571
"Nottingham","E06000018",323632
"Rutland","E06000017",41049
"Derbyshire","E10000007",794636
"Leicestershire","E10000018",712366
"Lincolnshire","E10000019",768364
"Nottinghamshire","E10000024",824822
"North Northamptonshire","E06000061",359525
"West Northamptonshire","E06000062",425725
